13;K0III;1.128;67.196978;92324.548321;-38421.000273;2630267.99189538
108;K3II/III;1.315;199.746918;33995.891035;-94043.816883;3372873.08658869
147;K5;1.569;759.258296;93338.53485;35879.540675;3499451.67028358
207;G8III;1.073;459.88359;40513.198308;91424.664275;39084089.5792402
209;A2V;0.085;466.81908;40510.832037;91425.677769;11481536.2149688
251;K2III;1.349;1223.765627;90428.958233;-42674.417517;3019951.72040202
268;K5;1.462;754.937233;51380.617026;85787.308291;4655860.9352296
279;B8V;0.12;699.402979;46389.580887;88586.215748;2910717.11806661
312;B0Ibp;0.36;834.56993;48315.475362;87549.518964;3191537.85510076
319;O8e;0.26;826.220505;46597.447642;88475.957895;4613175.7456038
330;A1III;0.274;857.790357;46495.3549;88529.351835;38018939.6320561
334;B0;0.08;923.964159;49756.933941;86737.499474;2654605.56197555
405;K2;1.201;1356.030432;62672.037997;77912.623077;4786300.92322638
406;M0;1.57;1939.076071;89296.268295;44971.284755;3076096.8147407
414;G6III;0.889;1107.140996;50247.373655;-86452.158328;3047894.98962799
438;G5;0.991;2314.705382;99924.173736;-3130.757445;5754399.37337157
505;O6pe;0.126;1171.572689;44323.466196;89632.904876;9908319.44892771
506;A2;-0.039;1580.52486;59773.922152;80153.478849;2992264.63660818
516;M1III;1.612;2286.668349;84010.084292;-54194.805525;3250872.97385435
550;B9;0.148;1620.101186;55424.959789;83219.283249;3104559.58812836
579;M...;1.552;3058.43304;99527.421885;9216.196617;4168693.83470335
613;K0;1.59;3118.743205;95423.707875;29742.048;3597493.35155743
743;K1;1.4;2555.431463;64209.682937;-76619.751938;3732501.57795721
763;B5V;0.08;2129.577863;51959.140743;85414.943607;4405548.63506553
802;G5;1.219;4310.210526;99551.257614;8424.321502;6792036.32617184
836;G8III;1.311;2230.437886;49910.81252;86625.261561;6426877.17317019
887;K1/K2III;1.253;4611.322554;96960.880371;-24027.554638;7177942.91271363
940;B5II: SB;0.137;2669.524016;52610.346916;85000.147017;12705741.0520854
951;F5Ib-II;0.63;2769.68017;53994.865548;84124.213911;13061708.8813184
