EGPC 58.45 -3.08 310 3
EGOV 53.25 -4.53 160 8
EGOS 52.8 -2.67 190 5
EGNT 55.03 -1.7 100 5
EGNS 54.08 -4.63 110 14
EGMD 50.95 0.93 310 8
EGMC 51.57 0.7 340 6
EGLC 51.5 0.05 350 4
EGJJ 49.22 -2.2 0 2
EGHQ 50.43 -5 190 6
EGHI 50.95 -1.35 10 3
EGHC 50.1 -5.67 270 12
EGDY 51 -2.63 80 4
EGDR 50.08 -5.25 250 8
EGCC 53.35 -2.27 0 3
EGBB 52.47 -1.75 0 3
EGAA 54.65 -6.22 100 9
EETU 58.32 26.68 230 9
EEKE 58.23 22.52 240 6
EDXW 54.92 8.33 100 11
EDVK 51.4 9.37 140 5
EDTY 49.12 9.78 200 3
EDTL 48.37 7.83 190 7
EDSB 48.78 8.08 220 7
EDQM 50.3 11.85 150 11
EDMO 48.07 11.27 210 7
EDMA 48.42 10.92 210 6
EDLP 51.62 8.62 130 4
EDLN 51.23 6.5 360 3
EDJA 47.98 10.23 220 12
EDHL 53.8 10.72 90 7
EDHI 53.53 9.83 80 8
EDGS 50.7 8.08 220 4
EDFM 49.47 8.52 340 5
EDDW 53.03 8.8 110 5
EDDS 48.68 9.22 210 5
EDDR 49.22 7.1 280 5
EDDN 49.5 11.05 130 8
EDDM 48.35 11.82 110 4
EDDF 50.05 8.6 330 4
EDDE 50.98 10.97 360 3
EDDC 51.13 13.75 140 12
EDDB 52.38 13.53 110 10
EBOS 51.2 2.87 330 9
EBLG 50.63 5.45 300 7
EBCI 50.47 4.45 300 7
EBAW 51.2 4.47 300 7
LMML 35.85 14.47 250 14
LIRP 43.68 10.38 110 4
LHSN 47.12 20.23 150 6
LHSM 46.68 17.17 160 5
LHPP 45.98 18.23 200 4
LHPA 47.35 17.5 220 6
LHKE 46.92 19.75 150 4
ETEB 49.32 10.63 160 4
ETIC 49.7 11.93 110 4
EBFS 50.23 4.65 290 9
UMMS 53.88 28.03 200 6
UMMG 53.6 24.05 170 4
UMKK 54.88 20.57 170 6
UMII 55.13 30.35 230 8
UMBB 52.12 23.9 110 6
ULOO 57.78 28.4 210 6
UKWW 49.25 28.6 30 8
UKLR 50.6 26.13 90 10
UKLI 48.88 24.68 130 6
UKKM 50.6 30.2 20 8
LWSK 41.97 21.63 290 7
LRTZ 43.98 28.62 300 12
LRTM 46.47 24.42 320 2
LRTC 45.07 28.72 340 5
LRSV 47.68 26.35 360 5
LRSB 45.78 24.08 330 4
LROP 44.57 26.1 190 4
LROD 47.03 21.88 200 13
LRIA 47.17 27.62 300 6
LRCV 44.32 23.88 80 4
LRCK 44.37 28.48 270 13
